,0,1
0,0.990099011,1.00E-09
1,0.990099011,1.40E-09
2,3.95E-02,0.941272175
3,0.039507283,9.41E-01
4,0.990099005,6.72E-09
5,9.90E-01,1.95234E-09
6,0.990099011,1.33E-09
7,0.99009901,2.15E-09
8,0.990099011,4.46E-10
9,0.990099011,7.59E-10
10,0.990099011,1.02E-09
11,9.90E-01,9.19555E-10
12,0.990099011,4.65E-10
13,0.990099011,4.33E-10
14,3.95E-02,0.941272142
15,9.90E-01,7.00214E-10
16,0.990099011,6.47E-10
17,9.90E-01,7.38681E-10
18,9.90E-01,7.52487E-10
19,0.990099011,4.36E-10
20,9.90E-01,8.04826E-10
21,3.95E-02,0.94127222
22,3.95E-02,0.94127222
23,3.95E-02,0.94127222
24,3.95E-02,0.94127222
25,0.039507263,9.41E-01
26,3.95E-02,0.94127222
27,3.95E-02,0.94127222
28,3.95E-02,0.94127222
29,3.95E-02,0.94127222
30,0.99009901,2.60E-10
31,9.90E-01,4.00752E-10
32,9.90E-01,4.43189E-10
33,9.90E-01,4.26183E-10
34,0.99009901,2.14E-10
35,0.99009901,2.04E-10
36,0.99009901,9.69E-11
37,0.99009901,2.37E-10
38,9.90E-01,7.83021E-10
39,0.990099009,3.27244E-09
40,0.99009901,6.29E-11
41,0.99009901,6.67E-11
42,0.99009901,9.46266E-11
43,0.99009901,5.23E-11
44,0.990099011,4.89859E-10
45,0.99009901,2.34419E-11
46,0.99009901,1.75E-11
47,0.99009901,5.2076E-11
48,0.99009901,2.79881E-11
49,0.99009901,1.01E-11
50,0.99009901,1.07345E-10
51,0.99009901,9.28E-13
52,0.99009901,9.75E-12
53,0.99009901,1.03879E-11
54,0.99009901,1.14341E-11
55,0.99009901,1.17062E-11
56,0.99009901,1.10E-11
57,0.99009901,1.13215E-11
58,0.99009901,1.15524E-11
59,0.99009901,1.16897E-11
60,0.99009901,1.16763E-11
61,0.99009901,1.16786E-11
62,0.99009901,1.16915E-11
63,0.99009901,1.16902E-11
64,0.99009901,1.16945E-11
65,0.99009901,1.1715E-11
66,0.99009901,1.17333E-11
67,0.99009901,1.17362E-11
68,0.99009901,1.17381E-11
69,0.99009901,1.17442E-11
70,0.99009901,1.17466E-11
71,0.99009901,1.17487E-11
72,0.99009901,1.17491E-11
73,0.99009901,1.17497E-11
74,0.99009901,1.17465E-11
75,0.99009901,1.17453E-11
76,0.99009901,1.17466E-11
77,0.99009901,1.17465E-11
78,0.99009901,1.17485E-11
79,0.99009901,1.17499E-11
80,0.99009901,1.17475E-11
81,0.99009901,1.1736E-11
82,0.99009901,1.17292E-11
83,0.99009901,1.17038E-11
84,0.99009901,1.1692E-11
85,0.99009901,1.17014E-11
86,0.99009901,1.1715E-11
87,0.99009901,1.17181E-11
88,0.99009901,1.17225E-11
89,0.99009901,1.17404E-11
90,0.99009901,1.17412E-11
91,0.99009901,1.17383E-11
92,0.99009901,1.1733E-11
93,0.99009901,1.17427E-11
94,0.99009901,1.17449E-11
95,0.99009901,1.17495E-11
96,0.99009901,1.17499E-11
97,0.99009901,1.17498E-11
98,0.99009901,1.17498E-11
99,0.99009901,1.1661E-11
100,0.99009901,1.16262E-11
101,0.99009901,1.15581E-11
102,0.99009901,1.15859E-11
103,0.99009901,1.15561E-11
104,0.99009901,1.05693E-11
105,0.99009901,1.05986E-11
106,0.99009901,1.05453E-11
107,0.99009901,1.02963E-11
108,0.99009901,1.04011E-11
109,0.99009901,1.10955E-11
110,0.99009901,9.29679E-12
111,0.99009901,4.01384E-10
112,0.990099011,4.29529E-10
113,3.95E-02,0.94127222
114,3.95E-02,0.94127222
115,9.90E-01,4.63674E-09
116,9.90E-01,1.94372E-09
117,3.95E-02,0.94127222
118,9.90E-01,1.24917E-09
119,9.90E-01,1.11388E-09
120,9.90E-01,6.95817E-10
121,9.90E-01,6.69653E-10
122,9.90E-01,8.54915E-10
123,9.90E-01,8.84998E-10
124,9.90E-01,9.48185E-10
125,9.90E-01,8.28188E-10
126,9.90E-01,1.34874E-09
127,9.90E-01,1.79063E-09
128,9.90E-01,4.71973E-09
129,9.90E-01,4.26031E-09
130,9.90E-01,7.05485E-09
131,9.90E-01,6.63852E-09
132,3.95E-02,0.941272218
133,3.95E-02,0.941271275
134,3.95E-02,0.94127178
135,3.95E-02,0.94127222
136,3.95E-02,0.94127222
137,3.95E-02,0.94127222
138,3.95E-02,0.94127222
139,3.95E-02,0.94127222
140,3.95E-02,0.94127222
141,3.95E-02,0.94127222
142,3.95E-02,0.94127222
143,3.95E-02,0.94127222
144,3.95E-02,0.94127222
145,3.95E-02,0.94127222
146,3.95E-02,0.94127222
147,3.95E-02,0.94127222
148,3.95E-02,0.94127222
149,3.95E-02,0.94127222
150,3.95E-02,0.94127222
151,3.95E-02,0.94127222
152,3.95E-02,0.94127222
153,3.95E-02,0.94127222
154,3.95E-02,0.94127222
155,3.95E-02,0.94127222
156,3.95E-02,0.94127222
157,3.95E-02,0.94127222
158,3.95E-02,0.94127222
159,3.95E-02,0.94127222
160,3.95E-02,0.94127222
161,3.95E-02,0.94127222
162,3.95E-02,0.94127222
163,3.95E-02,0.94127222
164,3.95E-02,0.94127222
165,3.95E-02,0.94127222
166,3.95E-02,0.94127222
167,3.95E-02,0.94127222
168,3.95E-02,0.94127222
169,3.95E-02,0.94127222
170,3.95E-02,0.94127222
171,3.95E-02,0.94127222
172,3.95E-02,0.94127222
173,3.95E-02,0.94127222
174,3.95E-02,0.94127222
175,3.95E-02,0.94127222
176,3.95E-02,0.94127222
177,3.95E-02,0.94127222
178,3.95E-02,0.94127222
179,3.95E-02,0.94127222
180,3.95E-02,0.94127222
181,3.95E-02,0.94127222
182,3.95E-02,0.94127222
183,3.95E-02,0.94127222
184,3.95E-02,0.94127222
185,3.95E-02,0.941272194
186,9.90E-01,7.71647E-10
187,9.90E-01,7.05467E-10
188,9.90E-01,9.02905E-10
189,9.90E-01,1.41523E-09
190,9.90E-01,1.18994E-09
191,9.90E-01,6.98815E-10
192,9.90E-01,5.09988E-10
193,9.90E-01,4.56693E-10
194,9.90E-01,4.69093E-10
195,9.90E-01,4.96352E-10
196,9.90E-01,4.82964E-10
197,9.90E-01,4.67338E-10
198,9.90E-01,4.59061E-10
199,9.90E-01,4.60604E-10
200,9.90E-01,4.62039E-10
201,9.90E-01,4.4402E-10
202,9.90E-01,4.30243E-10
203,9.90E-01,4.3808E-10
204,9.90E-01,4.23329E-10
205,9.90E-01,4.1438E-10
206,9.90E-01,4.61842E-10
